StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q3,Q4,Q5
2019-04-03 15:34:45,2019-04-03 15:35:53,IP Address,100,67,True,2019-04-03 15:35:53,R_3QXViifBHh6PeeT,anonymous,EN,8.1,09:10,09:30,Transit
2019-04-03 15:35:29,2019-04-03 15:38:54,IP Address,100,204,True,2019-04-03 15:38:54,R_1LwEo0njvuv0XEP,anonymous,EN,2,09:00,09:30,Transit
2019-04-03 15:38:04,2019-04-03 15:39:31,IP Address,100,86,True,2019-04-03 15:39:31,R_1lypqr1AzrBuSUM,anonymous,EN,1,9:03,9:33,Walking
2019-04-03 15:43:05,2019-04-03 15:44:16,IP Address,100,70,True,2019-04-03 15:44:16,R_3J3qBJxDnb8maxe,anonymous,EN,6.5,09:03,09:30,Cycling
2019-04-03 15:46:21,2019-04-03 15:47:10,IP Address,100,48,True,2019-04-03 15:47:11,R_3lsH0MwQsuEWeFN,anonymous,EN,15,09:00,09:25,Driving
2019-04-03 15:41:52,2019-04-03 15:49:04,IP Address,100,431,True,2019-04-03 15:49:05,R_1OUFDDYyGmG8B9a,anonymous,EN,14,9:10,9:20,Transit
2019-04-03 15:49:45,2019-04-03 15:50:11,IP Address,100,26,True,2019-04-03 15:50:14,R_1BQ50BE34RUIweF,anonymous,EN,1,09:05,09:35,Walking
2019-04-03 15:36:04,2019-04-03 15:53:51,IP Address,100,1067,True,2019-04-03 15:53:52,R_1HoCfFESuTyO8kU,anonymous,EN,12.7,08:55,09:25,Transit
2019-04-03 15:53:28,2019-04-03 15:54:17,IP Address,100,49,True,2019-04-03 15:54:18,R_XAntAIgzs0vSNEJ,anonymous,EN,10,9:07,9:37,Transit
2019-04-03 15:58:57,2019-04-03 16:28:07,IP Address,100,1749,True,2019-04-03 16:28:08,R_3iI6y6TPndtiOEp,anonymous,EN,22,08:30,9:00,Transit
2019-04-03 16:56:28,2019-04-03 16:58:04,IP Address,100,96,True,2019-04-03 16:58:04,R_2OOpBWOvSOd7UOR,anonymous,EN,3.6,09:07,09:32,Cycling
2019-04-03 16:00:24,2019-04-03 20:02:56,IP Address,100,14551,True,2019-04-03 20:02:57,R_1GH2j5NLDZKErpy,anonymous,EN,9.5,09:10,09:35,Transit
